ID_Number,Make,Model,Variant,Ex-Showroom_Price,Fuel_Type,Fuel_Tank_Capacity in Litres,capacity points,Displacement in cc,displacement points,Cylinders,No of cylinder points,Valves_Per_Cylinder,Valve point,Emission_Norm in BS,emission points,ARAI_Certified_Mileage in km/litre,ARAI Mileage Points liquid,ARAI_Certified_Mileage_for_CNG in km/kg,ARAI Mileage Points CNG,Front_Brakes,front break points,Rear_Brakes,rear break points,Power_Steering,power steering point,Power_Windows,power window point,Odometer,odometer point,Speedometer,speedometer point,Tripmeter,tripmeter point,Seats_Material,seat material point,Type,type point,Audio system,audio system point,Bluetooth,bluetooth point,Boot_Space in L,Boot Space points,Fuel-lid_Opener,Fuel-lid opener point,Boot-lid_Opener,Boot-lid Opener points,Fuel_Gauge,Fuel Guage points,Low_Fuel_Warning,Low Fuel Warning point,Ventilation_System,Ventilation system points,Cruise_Control,Cruise Control points,Airbags,Airbags point,Power in PS,Power Points,torque in NM,Torque points,POINT SUM,torque in NM old,Drivetrain,Cylinder_Configuration,Torque,Engine_Location,Fuel_System,Height in MM,Length in MM,Width in MM,Body_Type,Doors,City_Mileage in km/litre,Power,Highway_Mileage in km/litre,Kerb_Weight in kg,Gears,Ground_Clearance in MM,Front_Suspension,Rear_Suspension,Front_Track in MM,Rear_Track in MM,Front_Tyre,Rim WR,RIMS CORRECT,Rear_Tyre_&_Rim,Power_Seats,Keyless_Entry,RPM PS,Tachometer,Seating_Capacity,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Handbrake,Instrument_Console,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,A _(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs2,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
0,Tata,Nano Genx,Xt,292667,Petrol,24,1,624,1,2,2,2,2,4,2,23.6,5,0,0,Drum,1,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,110,2,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,No,0,38,1,51,1,48,51,RWD (Rear Wheel Drive),In-line,51NM@4000rpm,"Rear, Transverse",Injection,1652,3164,1750,Hatchback,5,23.6,38PS@5500rpm,,660,4,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,135/70R12,R12,155/65R12,,Remote,5500,Not on offer,4,2230 mm,4 B X 12,Yes,Yes,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
1,Tata,Nano Genx,Xe,236447,Petrol,24,1,624,1,2,2,2,2,4,2,23.6,5,0,0,Drum,1,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,Not on offer,0,Yes,1,110,2,Internal,5,Internal,3,Digital,2,Yes,1,Air Conditioning with cooling only,3,No,0,No,0,38,1,51,1,44,51,RWD (Rear Wheel Drive),In-line,51NM@4000rpm,"Rear, Transverse",Injection,1652,3164,1750,Hatchback,5,23.6,38PS@5500rpm,,725,4,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,135/70R12,R12,155/65R12,,,5500,Not on offer,4,2230 mm,4 B X 12,,Yes,,Yes,2 years /75000 Kms (years/distance whichever comes first),,,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,#REF!
2,Tata,Nano Genx,Emax Xm,296661,CNG,15,1,624,1,2,2,2,2,4,2,0,1,36,5,Drum,1,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,Not on offer,0,Yes,1,110,2,Internal,5,Internal,3,Digital,2,Yes,1,Air Conditioning with cooling only,3,No,0,No,0,38,1,51,1,45,51,RWD (Rear Wheel Drive),In-line,51NM@4000rpm,"Rear, Transverse",Injection,1652,3164,1750,Hatchback,4,,38PS@5500rpm,,710,4,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,135/70R12,R12,155/65R12,,,5500,Not on offer,4,2230 mm,4 B X 12,no,Yes,,Yes,2 years /75000 Kms (years/distance whichever comes first),,,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
3,Tata,Nano Genx,Xta,334768,Petrol,24,1,624,1,2,2,2,2,4,2,21.9,5,0,0,Drum,1,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Automatic,5,CD Player with USB & Aux-in,5,Yes,1,94,1,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,No,0,38,1,51,1,51,51,RWD (Rear Wheel Drive),In-line,51NM@4000rpm,"Rear, Transverse",Injection,1652,3164,1750,Hatchback,5,23.6,38PS@5500rpm,,725,5,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,135/70R12,R12,155/65R12,,Remote,5500,Not on offer,4,2230 mm,4 B X 12,Yes,Yes,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
4,Tata,Nano Genx,Xm,272223,Petrol,24,1,624,1,2,2,2,2,4,2,23.6,5,0,0,Drum,1,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,Not on offer,0,Yes,1,110,2,Internal,5,Internal,3,Digital,2,Yes,1,Air Conditioning with cooling only,3,No,0,No,0,38,1,51,1,44,51,RWD (Rear Wheel Drive),In-line,51NM@4000rpm,"Rear, Transverse",Injection,1652,3164,1750,Hatchback,5,23.6,38PS@5500rpm,,725,4,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,135/70R12,R12,155/65R12,,,5500,Not on offer,4,2230 mm,4 B X 12,,Yes,,Yes,2 years /75000 Kms (years/distance whichever comes first),,,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
5,Tata,Nano Genx,Xma,314815,Petrol,24,1,624,1,2,2,2,2,4,2,21.9,5,0,0,Drum,1,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Automatic,5,Not on offer,0,Yes,1,94,1,Internal,5,Internal,3,Digital,2,Yes,1,Air Conditioning with cooling only,3,No,0,No,0,38,1,51,1,47,51,RWD (Rear Wheel Drive),In-line,51NM@4000rpm,"Rear, Transverse",Injection,1652,3164,1750,Hatchback,5,23.6,38PS@5500rpm,,710,5,180,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,135/70R12,R12,155/65R12,,,5500,Not on offer,4,2230 mm,4 B X 12,,Yes,,Yes,2 years /75000 Kms (years/distance whichever comes first),,,Yes,Digital,Not on offer,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),,Manual,Analog + Digital,4 meter,Yes,Driver & Front Passenger,Not Applicable,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
6,Datsun,Redi-Go,D,279650,Petrol,28,1,799,1,3,3,4,0,4,2,25.17,5,0,0,Ventilated Disc,3,Drum,0,No,0,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,Not on offer,0,Yes,1,222,4,Internal,5,Internal,3,Digital,2,Yes,1,Yes,1,No,0,Driver frontal airbag,1,54,2,72,2,46,72,FWD (Front Wheel Drive),In-line,72NM@4386rpm,"Front, Transverse",Injection,1541,3429,1560,Hatchback,5,21.38,54PS@5678rpm,24,,5,185,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,R13,80/155R13,,,5678,Digital,5,2348 mm,80/155R13,,Yes,,Yes,2 years / Unlimited Kms,,,Yes,,Not on offer,Yes,,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
7,Datsun,Redi-Go,T,351832,Petrol,28,1,799,1,3,3,4,0,4,2,25.17,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,222,4,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,54,2,72,2,54,72,FWD (Front Wheel Drive),In-line,72NM@4386rpm,"Front, Transverse",Injection,1541,3429,1560,Hatchback,5,21.38,54PS@5678rpm,24,,5,185,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,R13,80/155R13,,,5678,Digital,5,2348 mm,80/155R13,,Yes,Yes,Yes,2 years / Unlimited Kms,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
8,Datsun,Redi-Go,A,333419,Petrol,28,1,799,1,3,3,4,0,4,2,25.17,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,Not on offer,0,Yes,1,222,4,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,54,2,72,2,49,72,FWD (Front Wheel Drive),In-line,72NM@4386rpm,"Front, Transverse",Injection,1541,3429,1560,Hatchback,5,21.38,54PS@5678rpm,24,,5,185,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,R13,80/155R13,,,5678,Digital,5,2348 mm,80/155R13,,Yes,,Yes,2 years / Unlimited Kms,,,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
9,Datsun,Redi-Go,S,362000,Petrol,28,1,799,1,3,3,4,0,4,2,25.17,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,222,4,Internal,5,"With Remote, Internal",5,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,54,2,72,2,56,72,FWD (Front Wheel Drive),In-line,72NM@4386rpm,"Front, Transverse",Injection,1541,3429,1560,Hatchback,5,21.38,54PS@5678rpm,24,,5,185,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,R13,80/155R13,,,5678,Digital,5,2348 mm,80/155R13,,Yes,Yes,Yes,2 years / Unlimited Kms,Yes,,Yes,,Not on offer,Yes,,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
10,Datsun,Redi-Go,1.0 S,390000,Petrol,28,1,999,2,3,3,4,0,4,2,22.5,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,222,4,Internal,5,"With Remote, Internal",5,Digital,2,Yes,1,Air Conditioning with cooling only,3,No,0,Driver frontal airbag,1,68,2,91,2,58,91,FWD (Front Wheel Drive),In-line,91NM@4250RPM,"Front, Transverse",Injection,1541,3429,1560,Hatchback,5,,68PS@5500rpm,,,5,185,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,R13,80/155R13,,,5500,Digital,5,2348 mm,80/155R13,,Yes,Yes,Yes,2 years / Unlimited Kms,Yes,,Yes,,Front,Yes,Yes,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
11,Datsun,Redi-Go,1.0 S Amt,437065,Petrol,28,1,999,2,3,3,4,0,4,2,23,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Analog,1,Yes,1,Fabric,3,Automatic,5,CD Player with USB & Aux-in,5,Yes,1,222,4,Internal,5,"With Remote, Internal",5,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,68,2,91,2,61,91,FWD (Front Wheel Drive),In-line,91NM@4250RPM,"Front, Transverse",Injection,1541,3429,1560,Hatchback,5,,68PS@5500rpm,,,5,185,Double Pivot Arm,H-type Torsion Beam,,,155/80R13,155/80R13,R13,155/80R13,,Yes,5500,Digital,5,2348 mm,155/80R13,,Yes,Yes,Yes,2 years / Unlimited Kms,Yes,Yes,Yes,,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Manual,Analog + Digital,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,Rear sensors,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,,none
12,Renault,Kwid,Rxe 0.8,353290,Petrol,28,1,799,1,3,3,4,0,6,3,25.17,5,0,0,Ventilated Disc,3,Drum,0,No,0,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Manual,1,Not on offer,0,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,54,2,72,2,51,72,FWD (Front Wheel Drive),In-line,72NM@4386rpm,"Front, Transverse",Injection,1490,3731,1579,Hatchback,5,25.17,54PS@5678rpm,,669,6,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,,5678,Not on offer,5,2422 mm,165/70 R14,,,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,,Yes,,Front,,Front,Yes,,,Manual,Digital,,Yes,Co-Driver Only,Not Applicable,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,none
13,Renault,Kwid,Std 0.8,283290,Petrol,28,1,799,1,3,3,4,0,6,3,25.17,5,0,0,Ventilated Disc,3,Drum,0,No,0,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Manual,1,Not on offer,0,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Heater,2,No,0,Driver frontal airbag,1,54,2,72,2,51,72,FWD (Front Wheel Drive),In-line,72NM@4386rpm,"Front, Transverse",Injection,1490,3731,1579,Hatchback,5,25.17,54PS@5678rpm,,669,5,184,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,,5678,Not on offer,5,2442 mm,165/70 R14,,,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,,,,Front,,Front,Yes,,,Manual,Digital,,Yes,,Not Applicable,Yes,,Yes,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,none
14,Renault,Kwid,Rxl 0.8,383290,Petrol,28,1,799,1,3,3,4,0,6,3,25.17,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,54,2,72,2,58,72,FWD (Front Wheel Drive),In-line,72NM@4386rpm,"Front, Transverse",Injection,1490,3731,1579,Hatchback,5,25.17,54PS@5678rpm,,669,5,184,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,,5678,Not on offer,5,2422 mm,165/70 R14,,Yes,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Yes,Yes,,Front,,Front,Yes,,Yes,Manual,Digital,,Yes,Co-Driver Only,Not Applicable,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,1,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,none
15,Renault,Kwid,Rxt 0.8,413290,Petrol,28,1,799,1,3,3,4,0,6,3,25.17,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,54,2,72,2,58,72,FWD (Front Wheel Drive),In-line,72NM@4386rpm,"Front, Transverse",Injection,1490,3731,1580,Hatchback,5,25.17,54PS@5678rpm,,669,5,184,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,,5678,Not on offer,5,2422 mm,165/70 R14,,Yes,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,,Yes,,Front,,Front,Yes,,Yes,Manual,Digital,,Yes,Co-Driver Only,Not Applicable,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,1,,,,,,,Yes,,,,Touch Sensitive,,,,,Yes,,,,,,,,,,,,,,,,No,,,,,none
16,Renault,Kwid,Rxt 1.0,433290,Petrol,28,1,999,2,3,3,4,0,6,3,23.01,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,68,2,91,2,59,91,FWD (Front Wheel Drive),In-line,91NM@4250RPM,"Front, Transverse",Injection,1490,3731,1579,Hatchback,5,25.17,68PS@5500rpm,,669,5,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,Remote,5500,Not on offer,5,2422 mm,165/70 R14,,Yes,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Manual,Digital,,Yes,Driver & Front Passenger,Not Applicable,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,1,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,,,No,,,,,none
17,Renault,Kwid,Climber 1.0 Mt,454490,Petrol,28,1,999,2,3,3,4,0,6,3,23.01,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,68,2,91,2,59,91,FWD (Front Wheel Drive),In-line,91NM@4250RPM,"Front, Transverse",Injection,1490,3731,1579,Hatchback,5,25.17,68PS@5500rpm,,669,5,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,Remote,5500,Not on offer,5,2422 mm,165/70 R14,,Yes,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Manual,Digital,,Yes,Driver & Front Passenger,Not Applicable,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,Yes,Yes,Yes,Yes,1,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,No,,,,,none
18,Renault,Kwid,Rxt Amt 1.0,463290,Petrol,28,1,999,2,3,3,4,0,6,3,24.04,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,68,2,91,2,63,91,FWD (Front Wheel Drive),In-line,91NM@4250RPM,"Front, Transverse",Injection,1490,3731,1579,Hatchback,5,25.17,68PS@5500rpm,,669,5,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,Remote,5500,Digital,5,2422 mm,165/70 R14,,Yes,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Manual,Digital,,Yes,Driver & Front Passenger,Not Applicable,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,Front Row,,Yes,Yes,Yes,Yes,1,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,,,No,,,,,none
19,Renault,Kwid,Climber Amt 1.0,484490,Petrol,28,1,999,2,3,3,4,0,6,3,24.04,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Automatic,5,CD/MP3/DVD Player with USB & Aux-in,5,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,Driver frontal airbag,1,68,2,91,2,63,91,FWD (Front Wheel Drive),In-line,91NM@4250RPM,"Front, Transverse",Injection,1490,3731,1579,Hatchback,5,25.17,68PS@5500rpm,,669,5,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,Remote,5500,Digital,5,2422 mm,165/70 R14,,Yes,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",Yes,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Manual,Digital,,Yes,Driver & Front Passenger,Not Applicable,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,Yes,Yes,Yes,Yes,1,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,No,,,,,none
20,Renault,Kwid,Rxt (O) 1.0,440990,Petrol,28,1,999,2,3,3,4,0,6,3,23.01,5,0,0,Ventilated Disc,3,Drum,0,Electric Power,2,Only Front Windows,1,Digital,2,Digital,2,Yes,2,Fabric,3,Manual,1,CD Player with USB & Aux-in,5,Yes,1,300,5,Internal,5,Internal,3,Digital,2,Yes,1,Manual Air conditioning with cooling and heating,2,No,0,"Driver frontal airbag, Front passenger frontal airbag",2,68,2,91,2,60,91,FWD (Front Wheel Drive),In-line,91NM@4250RPM,"Front, Transverse",Injection,1490,3731,1579,Hatchback,5,25.17,68PS@5500rpm,,669,5,184,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,R14,165/70 R14,,Remote,5500,Not on offer,5,2422 mm,165/70 R14,,Yes,Yes,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Yes,Yes,Digital,Front,,Front,Yes,,Yes,Manual,Digital,,Yes,Driver & Front Passenger,Not Applicable,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,2,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,,,No,,,,,none
